Country	Installation ID	Year	Article 10c allocation
EE	1	 2013 	959900 
EE	1	 2014 	822771 
EE	2	 2013 	4038974 
EE	2	 2014 	3461977 
CZ	164	 2013 	190154 
CZ	164	 2014 	162989 
CZ	164	 2015 	135824 
CY	210000000000001	 2013 	868904 
CY	210000000000001	 2014 	757188 
CY	210000000000001	 2015 	657885 
CY	210000000000001	 2016 	546169 
CY	210000000000001	 2017 	434452 
CY	210000000000001	 2018 	322736 
CY	210000000000001	 2019 	198607 
CY	210000000000002	 2013 	482659 
CY	210000000000002	 2014 	420602 
CY	210000000000002	 2015 	365442 
CY	210000000000002	 2016 	303385 
CY	210000000000002	 2017 	241329 
CY	210000000000002	 2018 	179273 
CY	210000000000002	 2019 	110322 
CY	210000000000003	 2013 	1167514 
CY	210000000000003	 2014 	1017405 
CY	210000000000003	 2015 	883975 
CY	210000000000003	 2016 	733866 
CY	210000000000003	 2017 	583757 
CY	210000000000003	 2018 	433648 
CY	210000000000003	 2019 	266860 
CZ	421	 2013 	1158181 
CZ	421	 2014 	992726 
CZ	421	 2015 	157593 
EE	12	 2013 	28630 
EE	12	 2014 	24540 
CZ	169	 2013 	7781 
CZ	169	 2014 	6669 
CZ	169	 2015 	5558 
EE	13	 2013 	27708 
EE	13	 2014 	23749 
HU	13	 2013 	146085 
HU	22	 2013 	203853 
HU	23	 2013 	108238 
HU	24	 2013 	111931 
CZ	184	 2013 	2752 
CZ	184	 2014 	2359 
CZ	184	 2015 	1966 
CZ	191	 2013 	22115 
CZ	191	 2014 	18955 
CZ	191	 2015 	15796 
HU	36	 2013 	490140 
CZ	200	 2013 	24841 
CZ	200	 2014 	21292 
CZ	200	 2015 	17743 
EE	54	 2013 	67142 
EE	54	 2014 	57550 
HU	54	 2013 	1204981 
CZ	209	 2013 	293764 
CZ	209	 2014 	251798 
CZ	209	 2015 	209832 
HU	63	 2013 	343533 
CZ	215	 2013 	31915 
CZ	215	 2014 	27355 
CZ	215	 2015 	22796 
CZ	216	 2013 	6604 
CZ	216	 2014 	5660 
CZ	216	 2015 	4717 
CZ	217	 2013 	103863 
CZ	217	 2014 	89025 
CZ	217	 2015 	74188 
CZ	218	 2013 	19679 
CZ	218	 2014 	16868 
CZ	218	 2015 	14057 
CZ	219	 2013 	137170 
CZ	219	 2014 	117574 
CZ	219	 2015 	97979 
CZ	220	 2013 	138021 
CZ	220	 2014 	118303 
CZ	220	 2015 	98586 
CZ	221	 2013 	19432 
CZ	221	 2014 	16656 
CZ	221	 2015 	13880 
CZ	224	 2013 	182994 
CZ	224	 2014 	156852 
CZ	224	 2015 	130710 
CZ	225	 2013 	968 
CZ	225	 2014 	829 
CZ	225	 2015 	691 
CZ	229	 2013 	4685 
CZ	229	 2014 	4016 
CZ	229	 2015 	3347 
CZ	245	 2013 	60734 
CZ	245	 2014 	52058 
CZ	245	 2015 	43382 
CZ	252	 2013 	410152 
CZ	252	 2014 	351559 
CZ	252	 2015 	292966 
HU	142	 2013 	2851844 
HU	158	 2013 	150230 
CZ	307	 2013 	153796 
CZ	307	 2014 	131826 
CZ	307	 2015 	109855 
HU	205	 2013 	489301 
CZ	23	 2013 	332 
CZ	23	 2014 	285 
CZ	23	 2015 	237 
CZ	36	 2013 	1127012 
CZ	36	 2014 	966010 
CZ	36	 2015 	805008 
LT	44	 2013 	27587 
LT	44	 2014 	25420 
CZ	38	 2013 	87574 
CZ	38	 2014 	75064 
CZ	38	 2015 	62553 
CZ	40	 2013 	71001 
CZ	40	 2014 	60858 
CZ	40	 2015 	50715 
LT	50	 2013 	1903 
LT	50	 2014 	1753 
HU	254	 2013 	34489 
CZ	44	 2013 	92467 
CZ	44	 2014 	79257 
CZ	44	 2015 	66048 
CZ	45	 2013 	744121 
CZ	45	 2014 	637818 
CZ	45	 2015 	531515 
LT	57	 2013 	152 
LT	57	 2014 	140 
CZ	46	 2013 	72328 
CZ	46	 2014 	61995 
CZ	46	 2015 	51663 
CZ	50	 2013 	62147 
CZ	50	 2014 	53269 
CZ	50	 2015 	44391 
CZ	65	 2013 	252288 
CZ	65	 2014 	216247 
CZ	65	 2015 	180205 
LT	85	 2013 	1585 
LT	85	 2014 	1461 
CZ	353	 2013 	1380 
CZ	353	 2014 	1183 
CZ	353	 2015 	986 
LT	86	 2013 	5835 
LT	86	 2014 	5376 
LT	87	 2013 	285387 
LT	87	 2014 	262963 
CZ	76	 2013 	221555 
CZ	76	 2014 	189905 
CZ	76	 2015 	158254 
PL	935	 2013 	53826 
PL	935	 2014 	49757 
CZ	82	 2013 	671228 
CZ	82	 2014 	575339 
CZ	82	 2015 	479449 
CZ	84	 2013 	1501 
CZ	84	 2014 	1286 
CZ	84	 2015 	1072 
CZ	85	 2013 	434 
CZ	85	 2014 	372 
CZ	85	 2015 	310 
CZ	86	 2013 	1158 
