Country	Installation ID	Year	NER allocation
EE	5	 2013 	12812 ****
EE	5	 2014 	10981 ****
EE	5	 2015 	118134 
EE	5	 2016 	113272 
EE	5	 2017 	108511 
EE	5	 2018 	103850 
EE	5	 2019 	99286 
EE	5	 2020 	94826 
CZ	167	 2013 	68706 ****
CZ	167	 2014 	58891 ****
CZ	167	 2015 	29444 ****
CZ	167	 2016 	68850 
CZ	167	 2017 	67586 
CZ	167	 2018 	66322 
CZ	167	 2019 	65058 
CZ	167	 2020 	63794 
CY	210000000000004	 2013 	317509 
CY	210000000000004	 2014 	311984 
CY	210000000000004	 2015 	306460 
CY	210000000000004	 2016 	300935 
CY	210000000000004	 2017 	295410 
CY	210000000000004	 2018 	289886 
CY	210000000000004	 2019 	284361 
CY	210000000000004	 2020 	278836 
DK	62	 2014 	1870 
DK	62	 2015 	10076 
DK	62	 2016 	8819 
DK	62	 2017 	7602 
DK	62	 2018 	6424 
DK	62	 2019 	5284 
DK	62	 2020 	4186 
FI	432	 2013 	12360 
FI	432	 2014 	12145 
FI	432	 2015 	11930 
FI	432	 2016 	11715 
FI	432	 2017 	11500 
FI	432	 2018 	11285 
FI	432	 2019 	11070 
FI	432	 2020 	10855 
CZ	177	 2013 	178 
CZ	177	 2014 	1047 
CZ	177	 2015 	1029 
CZ	177	 2016 	1010 
CZ	177	 2017 	992 
CZ	177	 2018 	973 
CZ	177	 2019 	955 
CZ	177	 2020 	936 
HU	18	 2013 	231001 
HU	18	 2014 	226981 
HU	18	 2015 	222962 
HU	18	 2016 	218942 
HU	18	 2017 	214923 
HU	18	 2018 	210903 
HU	18	 2019 	206885 
HU	18	 2020 	202864 
HR	204295	 2014 	9319 
HR	204295	 2015 	13638 
HR	204295	 2016 	13392 
HR	204295	 2017 	13147 
HR	204295	 2018 	12901 
HR	204295	 2019 	12655 
HR	204295	 2020 	12409 
CZ	425	 2013 	18401 
CZ	425	 2014 	7864 
CZ	425	 2015 	3281 
CZ	425	 2016 	2872 
CZ	425	 2017 	2476 
CZ	425	 2018 	2093 
CZ	425	 2019 	1722 
CZ	425	 2020 	1365 
EE	38	 2013 	22786 
EE	38	 2014 	22390 
EE	38	 2015 	21993 
EE	38	 2016 	21597 
EE	38	 2017 	21200 
EE	38	 2018 	20804 
EE	38	 2019 	20407 
EE	38	 2020 	20011 
DK	314	 2014 	3435 
DK	314	 2015 	5421 
DK	314	 2016 	5323 
DK	314	 2017 	5226 
DK	314	 2018 	5127 
DK	314	 2019 	5029 
DK	314	 2020 	4932 
AT	32	 2013 	14404 
EE	57	 2014 	108594 
AT	32	 2014 	12890 
AT	32	 2015 	11419 
EE	57	 2015 	276134 
AT	32	 2016 	9995 
EE	57	 2016 	271157 
EE	57	 2017 	266178 
AT	32	 2017 	8615 
EE	57	 2018 	261200 
AT	32	 2018 	7281 
EE	57	 2019 	256222 
AT	32	 2019 	5989 
EE	57	 2020 	251244 
AT	32	 2020 	4744 
EE	58	 2013 	7326 
EE	58	 2014 	6556 
EE	58	 2015 	5808 
EE	58	 2016 	5084 
EE	58	 2017 	4382 
EE	58	 2018 	3703 
EE	58	 2019 	3046 
EE	58	 2020 	2413 
FI	444	 2013 	129360 
FI	444	 2014 	127109 
FI	444	 2015 	124858 
FI	444	 2016 	122608 
FI	444	 2017 	120357 
FI	444	 2018 	118106 
FI	444	 2019 	115855 
FI	444	 2020 	113604 
DE	4144	 2013 	13737 
DE	4144	 2014 	12294 
DE	4144	 2015 	10892 
DE	4144	 2016 	9533 
DE	4144	 2017 	8218 
DE	4144	 2018 	6945 
DE	4144	 2019 	5713 
DE	4144	 2020 	4525 
AT	58	 2013 	499 
AT	58	 2014 	5263 
AT	58	 2015 	4662 
AT	58	 2016 	4081 
AT	58	 2017 	3517 
AT	58	 2018 	2973 
AT	58	 2019 	2445 
AT	58	 2020 	1937 
DE	4146	 2013 	6379 
DE	4146	 2014 	5709 
DE	4146	 2015 	5058 
DE	4146	 2016 	4427 
DE	4146	 2017 	3816 
DE	4146	 2018 	3225 
DE	4146	 2019 	2653 
DE	4146	 2020 	2101 
DE	4153	 2013 	5095 
DE	4153	 2014 	5008 
DE	4153	 2015 	4919 
DE	4153	 2016 	4830 
DE	4153	 2017 	4741 
DE	4153	 2018 	4653 
DE	4153	 2019 	4564 
DE	4153	 2020 	4475 
DE	880	 2013 	4880 
DE	880	 2014 	4370 
DE	880	 2015 	3870 
DE	880	 2016 	3388 
DE	880	 2017 	2920 
DE	880	 2018 	2469 
DE	880	 2019 	2032 
DE	880	 2020 	1609 
CZ	242	 2014 	528 
CZ	242	 2015 	1287 
CZ	242	 2016 	1263 
CZ	242	 2017 	1240 
CZ	242	 2018 	1217 
CZ	242	 2019 	1194 
CZ	242	 2020 	1170 
HU	96	 2013 	1199 
HU	96	 2014 	6423 
HU	96	 2015 	5690 
HU	96	 2016 	4980 
DE	4156	 2013 	15087 
HU	96	 2017 	4293 
DE	4156	 2014 	14825 
HU	96	 2018 	3628 
DE	4156	 2015 	9569 
DE	4156	 2016 	8376 
HU	96	 2019 	2984 
DE	4156	 2017 	7220 
HU	96	 2020 	2363 
DE	4156	 2018 	6101 
DE	4156	 2019 	5019 
DE	4156	 2020 	3975 
LV	32	 2013 	5582 
LV	32	 2014 	4996 
LV	32	 2015 	4426 
LV	32	 2016 	3874 
LV	32	 2017 	3339 
LV	32	 2018 	2822 
LV	32	 2019 	2321 
LV	32	 2020 	1838 
GR	113	 2014 	1085 
GR	113	 2015 	1817 
GR	113	 2016 	1784 
GR	113	 2017 	1752 
GR	113	 2018 	1719 
GR	113	 2019 	1686 
GR	113	 2020 	1654 
DE	4163	 2013 	40533 
DE	4163	 2014 	36273 
DE	4163	 2015 	32135 
